character_name,character_speech
nora ,"['ja', 'umådeligt', 'at', 'være', 'advokat', 'det', 'er', 'jo', 'så', 'usikkert', 'at', 'leve', 'af', 'især', 'når', 'man', 'ikke', 'vil', 'be', 'fatte', 'sig\u200b', 'med', 'andre', 'forretninger', 'end', 'de', 'som', 'er', 'fine', 'og', 'smukke', 'og', 'det', 'har', 'naturligvis', 'torvald', 'aldrig', 'villet', 'og', 'det', 'holder', 'jeg', 'da', 'ganske', 'med', 'ham', 'i', 'å', 'du', 'kan', 'tro', 'vi', 'glæder', 'os', 'han', 'skal', 'tiltræde', 'i', 'banken', 'allerede', 'til', 'nytår', 'og', 'da', 'får', 'han', 'en', 'stor', 'gage', 'og', 'mange', 'procenter', 'herefter', 'kan', 'vi', 'leve', 'ganske', 'anderledes', 'end', 'før', '–', 'ganske', 'som', 'vi', 'vil', 'å', 'kristine', 'hvor', 'jeg', 'føler', 'mig', 'let', 'og', 'lykkelig', 'ja', 'for', 'det', 'er', 'dog', 'dejligt', 'at', 'have', 'dygtig', 'mange', 'penge', 'og', 'ikke', 'behøve', 'at', 'gøre', 'sig', 'bekymringer', 'ikke', 'sandt']"
frulinde ,"['jo', 'ialfald', 'måtte', 'det', 'være', 'dejligt', 'at', 'have', 'det', 'nødvendige']"
nora ,"['nej', 'ikke', 'blot', 'det', 'nødvendige', 'men', 'dygtig', 'dygtig', 'mange', 'penge']"
frulinde ,"['nora', 'nora', 'er', 'du', 'endnu', 'ikke', 'bleven', 'for', 'nuftig', 'i', 'skoledagene', 'var', 'du', 'en', 'stor', 'ødeland']"
nora ,"['ja', 'det', 'siger', 'torvald', 'endnu', 'men', '«nora', 'nora»', 'er', 'ikke', 'så', 'gal', 'som', 'i', 'tænker', '–', 'å', 'vi', 'har', 'sandelig', 'ikke', 'havt', 'det', 'så', 'at', 'jeg', 'har', 'kunnet', 'ødsle', 'vi', 'har', 'måttet', 'arbejde', 'begge', 'to']"
frulinde ,"['du', 'også']"
nora ,"['ja', 'med', 'småting', 'med', 'håndarbejde', 'med', 'hækling', 'og', 'med', 'broderi', 'og', 'sådant', 'noget', 'og', 'med', 'andre', 'ting', 'også', 'du', 'ved', 'vel', 'at', 'torvald', 'gik', 'ud', 'af', 'departementet', 'da', 'vi', 'blev', 'gift', 'der', 'var', 'ingen', 'udsigt', 'til', 'befordring', 'i', 'hans', 'kontor', 'og', 'så', 'måtte', 'han', 'jo', 'tjene', 'flere', 'penge', 'end', 'før', 'men', 'i', 'det', 'første', 'år', 'overanstrængte', 'han', 'sig', 'så', 'aldeles', 'forfærdeligt', 'han', 'måtte', 'jo', 'søge', 'alskens', 'bifortjeneste', 'kan', 'du', 'vel', 'tænke', 'dig', 'og', 'arbejde', 'både', 'tidligt', 'og', 'sent', 'men', 'det', 'tålte', 'han', 'ikke', 'og', 'så', 'blev', 'han', 'så', 'dødelig', 'syg', 'så', 'erklærte', 'lægerne', 'det', 'for', 'nødvendigt', 'at', 'han', 'kom', 'ned', 'til', 'syden']"
frulinde ,"['ja', 'i', 'opholdt', 'jer', 'jo', 'et', 'helt', 'år', 'i', 'italien']"
nora ,"['ja', 'visst', 'det', 'var', 'ikke', 'let', 'at', 'komme', 'afsted\u200b', 'kan', 'du', 'tro', 'ivar', 'var', 'netop', 'født', 'dengang', 'men', 'afsted', 'måtte', 'vi', 'naturligvis', 'å', 'det', 'var', 'en', 'vid', 'underlig', 'dejlig', 'rejse', 'og', 'den', 'frelste', 'torvalds', 'liv', 'men', 'den', 'kosted', 'svært', 'mange', 'penge', 'kristine']"
frulinde ,"['det', 'kan', 'jeg', 'nok', 'tænke', 'mig']"
